date	likes	retweets	text	username
Fri Jun 15 15:28:01 +0000 2018	2	2	"Leading an effort along w/ @SenatorCardin @ChrisVanHollen @RepSarbanes @RepJohnDelaney to help #Maryland #Crab shacks get the regulatory relief they need to stay open! 
https://t.co/eZ6fWGbehi"	Call_Me_Dutch
Thu Jun 14 21:57:03 +0000 2018	0	7	RT @HouseHomeland: Join us next week on Thursday, June 21st for the second annual, bipartisan Capitol Hill National Security Forum hosted b…	Call_Me_Dutch
Wed Jun 13 19:21:13 +0000 2018	19	7	Got a chance to speak from the heart this morning on an issue that breaks my heart as a father and grandfather. We need common sense #immigration reform, but taking children from their parents is wrong under any circumstance. We have to #KeepFamiliesTogether https://t.co/R0N5P5Khb1	Call_Me_Dutch
Wed Jun 13 16:38:48 +0000 2018	4	2	Working w/ fellow @AppropsDems @HouseAppropsGOP to mark-up bill that funds @DeptofDefense and ensures it has the resources it needs to protect American lives. Big impact on #Maryland + #MD02, home to many #defense agencies, contractors https://t.co/kmQO7cOt3w	Call_Me_Dutch
Wed Jun 13 02:35:43 +0000 2018	8	6	This day marks two years since the #Pulse Night Club shooting. The loved ones of the many victims stay in our thoughts and prayers, but we also need to #HonorThemWithAction to end senseless #gunviolence https://t.co/gHnQbItiYt	Call_Me_Dutch
Fri Jun 15 17:15:00 +0000 2018	7	3	The #ABLE act has transformed our expectations for people with disabilities to match the goals they set for themselves. https://t.co/DQMN77yLm0	cathymcmorris
Fri Jun 15 15:13:00 +0000 2018	8	4	"We’re committed to combating the #opioidcrisis and that can only be done through…
✓ Treatment and recovery
✓ Prevention
✓ Protecting communities
✓ Fighting fentanyl
https://t.co/XRbtco6CDQ https://t.co/mlkQWFFi1k"	cathymcmorris
Fri Jun 15 13:25:00 +0000 2018	12	2	"We’re continuing on our mission to combat this horrific crisis so another mother, father,
sister, brother, or friend won’t have to endure this heartache. https://t.co/XRbtcnP1fg"	cathymcmorris
Fri Jun 15 00:21:19 +0000 2018	152	32	What a moment! So inspired by your strength, @SteveScalise. #TeamScalise. #CBG18 https://t.co/G7Ens6iKjF	cathymcmorris
Thu Jun 14 21:22:00 +0000 2018	2	1	The #opioidcrisis has been wreaking havoc on communities for far too long. Check out what @HouseGOP is doing to combat this horrible crisis → https://t.co/XRbtco6CDQ	cathymcmorris
Fri Jun 15 12:38:22 +0000 2018	10	3	Eid Mubarak! Best wishes to all those celebrating Eid al-Fitr! https://t.co/AM7f7NyW8C	chelliepingree
Thu Jun 14 19:18:37 +0000 2018	55	18	"Today I cosponsored the House version of the Keep Families Together Act, a companion bill to @SenFeinstein’s legislation because #FamiliesBelongTogether. #mepolitics 

My full statement: https://t.co/mpYFgPt8u8"	chelliepingree
Thu Jun 14 18:04:34 +0000 2018	45	8	Thank you for introducing this bill in the Senate, @SenFeinstein. I am an original cosponsor of the Keep Families Together Act in the House because #FamiliesBelongTogether. #mepolitics https://t.co/L1y0YLz5sG	chelliepingree
Thu Jun 14 16:57:16 +0000 2018	166	51	VIDEO: I’ve cosponsored legislation to stop the Trump Administration’s insidious practice of separating children from their parents. I ask the Republican majority to end its complicity and let us vote on H.R. 5950, the HELP Separated Children Act. #mepolitics https://t.co/ueQ9syiuKL	chelliepingree
Wed Jun 13 19:38:23 +0000 2018	2	0	Are these organic @hagstromreport? https://t.co/9w273xAW5z	chelliepingree
Thu Jun 07 17:23:19 +0000 2018	25	14	Last night the House passed the WRDA bill increasing authorization for the Lake Marion Regional Water System by almost $30 million.  This is a big deal and extends access to potable water in Calhoun, Orangeburg, Dorchester, and Berkeley Counties.	Clyburn
Thu May 24 21:17:11 +0000 2018	14	4	Americans deserve #ABetterDeal on their taxes. Click here to read my newsletter https://t.co/kYLfggYVgm #GOPTaxScam https://t.co/I8YloALVi3	Clyburn
Thu May 24 16:19:23 +0000 2018	39	10	Great meeting this morning with Presiding Bishop Micheal B. Curry of @iamepiscopalian. On behalf of the Democratic Faith Working Group, I look forward to working him and his team. @PB_Curry https://t.co/AIGlqnS1Gg	Clyburn
Thu May 24 13:00:01 +0000 2018	36	7	Happy to welcome Presiding Bishop Michael B. Curry of @iamepiscopalian to Capitol Hill. I'm looking forward to meeting with him today. @PB_Curry	Clyburn
Wed May 23 19:46:51 +0000 2018	5	4	Many thanks to @RepCummings, @OversightDems and the staff for their help on this report: https://t.co/JQvfuLYER1 on the #GOPTaxScam	Clyburn
Fri Jun 01 14:55:14 +0000 2018	13	6	Check it out —&gt; the #JobsReport numbers are in! Over 223,000 new opportunities for Americans to succeed 👍🏻 https://t.co/52mL3KgOxc	ConawayTX11
Wed May 30 13:13:19 +0000 2018	0	502	"RT @SpeakerRyan: Did you miss this news? Congress sent 3 major bills to the @WhiteHouse last week:

✔#RightToTry
✔Improving #Veterans’ acce…"	ConawayTX11
Wed May 23 19:49:01 +0000 2018	3	2	Glad to have you in DC, Dr. May! https://t.co/7SPUjCnG8j	ConawayTX11
Wed May 23 19:32:49 +0000 2018	24	4	Always great to have you on Capitol Hill, @SecretarySonny https://t.co/W3WUA2Ieue	ConawayTX11
Tue May 22 21:47:56 +0000 2018	6	3	The National Defense Authorization Act is crucial to providing our servicemembers with the resources they need to successfully execute their missions. #FY19NDAA debate on the House Floor starts now: https://t.co/PLuVFB9Gau	ConawayTX11
Tue Jun 12 20:19:52 +0000 2018	5	4	Space Coast Projects Receive Priority Funding by Army Corps https://t.co/p9F3DnUWsM	congbillposey
Fri Jun 08 15:32:28 +0000 2018	9	1	House Approves Rep. Posey’s Plan to Speed-up Port Projects https://t.co/SPrUJra0aS	congbillposey
Tue May 22 14:58:37 +0000 2018	17	1	Katie and I filled some care packages for the troops at a USO event at the Capitol #flex4forces https://t.co/a3EZmQjRS1	congbillposey
Thu Mar 22 17:54:54 +0000 2018	13	4	Committee Approves Rep. Posey’s Bipartisan Commercial Space Legislation https://t.co/JZynqMdV3g	congbillposey
Tue Mar 06 20:47:23 +0000 2018	0	16	RT @congbillposey: @angelicahale and @HerreraBeutler  stopped by to have a Facebook live chat about kidney disease this afternoon https://t…	congbillposey
Fri Jun 15 17:11:28 +0000 2018	24	9	"To use a bible passage to justify separating children from parents to appease your base is disgusting &amp; offensive. This is not who we are as a country. 
https://t.co/alaNAjLJxV"	CongBoyle
Thu Jun 14 18:56:05 +0000 2018	14	7	On Flag Day we celebrate the adoption of our flag by the Second Continental Congress in 1777. For 241 years, our flag has served as a great symbol of freedom and liberty. #FlagDay2018 https://t.co/orcxdoUfXY	CongBoyle
Thu Jun 14 18:12:14 +0000 2018	6	1	Great to see Rev. Bonnie Camarda and members of @esperanza_us here in Washington this week. I applaud Esperanza’s tradition of community service and commitment to strengthening Hispanic communities through education, economic development and advocacy. https://t.co/U9U6WwcsbL	CongBoyle
Thu Jun 14 17:17:15 +0000 2018	9	6	The president’s determination to strike a deal on denuclearization must not fail to address the human rights situation (in NK).  My legislation would hold Kim Jong-un accountable. https://t.co/I10SMhIEBJ	CongBoyle
Thu Jun 14 16:57:34 +0000 2018	11	2	Danish Ambassador Lars Gert Lose stopped by my office this week. We had a very good discussion on diplomatic issues and other important topics. Thank you @DKambUSA for taking the time to have these valuable discussions. https://t.co/HpNaudHB4N	CongBoyle
Fri Jun 15 15:48:29 +0000 2018	0	166	RT @NASA: #HappyBirthday @JimBridenstine! Join us in sending birthday wishes to our 13th administrator who leads our ongoing mission of exp…	CongCulberson
Thu Jun 14 21:08:26 +0000 2018	2	1	While no single bill can end the #OpioidCrisis, the proposals passed in the House this week represent a major step toward ending prescription drug abuse in America. Read my full statement: https://t.co/JZfiiArLge https://t.co/ERQT7opJdL	CongCulberson
Thu Jun 14 18:38:12 +0000 2018	4	1	Happy 243rd birthday, @USArmy, and thank you to the incredible men and woman who serve our country! #ArmyBDay https://t.co/Dnk4G4H582	CongCulberson
Thu Jun 14 13:46:32 +0000 2018	6	2	My statement on the summit between @POTUS and North Korean Leader Kim Jong Un: https://t.co/wVrodCyiS2 https://t.co/ZEcNFDgU6F	CongCulberson
Wed Jun 13 18:52:30 +0000 2018	0	30	RT @cathymcmorris: Just a few milligrams of fentanyl can be lethal. That amount of fentanyl is about the size of Lincoln’s ear on a penny.…	CongCulberson
Fri Jun 15 16:25:18 +0000 2018	0	1	(2/2) I look forward to working with the Administration on the new rule which will give certainty to #Idaho’s farmers and ranchers, respect the jurisdiction of state waters, and ultimately achieve the intent of the law through supporting local communities to provide clean water.	CongMikeSimpson
Fri Jun 15 16:24:05 +0000 2018	0	1	(1/2) I applaud this Administration for permanently rescinding the hastily developed Obama Administration rule on ‘waters of the United States’.	CongMikeSimpson
Fri Jun 15 15:34:19 +0000 2018	0	17	RT @HouseAppropsGOP: The FY19 Labor, HHS, Education bill has been approved by the Subcommittee on a voice vote. https://t.co/00g31aXkXw	CongMikeSimpson
Thu Jun 14 23:01:33 +0000 2018	10	2	"I hope you enjoyed your #FlagDay as much as I did.

 #sweetfreedom https://t.co/thyI4Yt4LH"	CongMikeSimpson
Thu Jun 14 21:31:56 +0000 2018	3	1	"Sariah Cockrell from Salmon Idaho is participating as a U.S. Representative for the American Legion Auxiliary Idaho Syringa Girls State.  Thanks for stopping by our Boise office today Sariah!   
#idgirlsstatecity2
#idgirlsstate
#americanlegionauxiliary https://t.co/PUEkCV6rLi"	CongMikeSimpson
Thu Jun 14 19:52:04 +0000 2018	25	5	Glad to see my good friend Mr. Scalise making his way back on to the field. Excited for tonight's baseball game! https://t.co/FPsuqi8Loe	CongPalazzo
Thu Jun 14 19:43:24 +0000 2018	0	14	RT @JimBridenstine: Happy #FlagDay! The American flag is a symbol of leadership, achievement, and sacrifice wherever it might be flying. ht…	CongPalazzo
Thu Jun 14 18:16:00 +0000 2018	8	2	Today, we honor our flag, along with the valor, purity, and justice it represents. On this day 241 years ago, Old Glory was adopted as the official flag of this nation. #FlagDay https://t.co/2NhXONWhQd	CongPalazzo
Thu Jun 14 15:41:41 +0000 2018	0	3	RT @RCLFMS: THANK YOU to @CongPalazzo for offering an amendment to the House Appropriations Bill that added $25M to @CDFIFund programs brin…	CongPalazzo
Thu Jun 14 14:26:50 +0000 2018	0	4	RT @CDBankers: Today the House Appropriations Committee voted to restore $25 million in funding to the CDFI Fund. A huge thank you to @Cong…	CongPalazzo
Fri Jun 15 15:28:01 +0000 2018	2	1	On Floor to recognize June as #Alzheimer &amp; Brain Awareness Month.  Alzheimer’s is the 6th leading cause of death in the United States. 5.7 million Americans are living with his disease.	CongressmanGT
