	date	likes	retweets	text
90	Tue Feb 20 02:21:08 +0000 2018	55059	9470	.@MittRomney has announced he is running for the Senate from the wonderful State of Utah. He will make a great Sena… https://t.co/h1RaVb2OVj
91	Mon Feb 19 19:55:49 +0000 2018	91862	22486	Obama was President up to, and beyond, the 2016 Election. So why didn’t he do something about Russian meddling?
92	Mon Feb 19 13:42:10 +0000 2018	145334	24205	Have a great, but very reflective, President’s Day!
93	Mon Feb 19 04:28:40 +0000 2018	155013	34945	Just watched a very insecure Oprah Winfrey, who at one point I knew very well, interview a panel of people on 60 Mi… https://t.co/7iuf59562i
94	Sun Feb 18 19:13:02 +0000 2018	102785	15730	My great friends from NASCAR are having their big race today, The Daytona 500. Brian France and the France family a… https://t.co/EWBOQxPW2S
95	Sun Feb 18 17:10:32 +0000 2018	78018	18152	Thank you to KenStarr, former Independent Counsel, Whitewater, for your insight and powerful words on FISA abuse, R… https://t.co/XGIgUkn3qK
96	Sun Feb 18 13:55:55 +0000 2018	97845	22092	Great Pollster John McLaughlin now has the GOP up in the Generic Congressional Ballot. Big gain over last 4 weeks.… https://t.co/iIrNmfPgbQ
97	Sun Feb 18 13:46:39 +0000 2018	77567	19952	The Fake News of big ratings loser CNN. https://t.co/rYsv90cnvs
98	Sun Feb 18 13:11:28 +0000 2018	119334	33467	If it was the GOAL of Russia to create discord, disruption and chaos within the U.S. then, with all of the Committe… https://t.co/fx3CPabzTi
99	Sun Feb 18 12:53:11 +0000 2018	0	12898	RT @mike_pence: Big night. Largest-ever Dallas County GOP Reagan Day Dinner. As I told the crowd, under President @realDonaldTrump: Promise…
100	Sun Feb 18 12:43:48 +0000 2018	90856	19980	Now that Adam Schiff is starting to blame President Obama for Russian meddling in the election, he is probably doin… https://t.co/R2OTHSUYP9
101	Sun Feb 18 12:33:16 +0000 2018	127697	31905	I never said Russia did not meddle in the election, I said “it may be Russia, or China or another country or group,… https://t.co/1dMjQbLlSC
102	Sun Feb 18 12:22:29 +0000 2018	109493	28756	Finally, Liddle’ Adam Schiff, the leakin’ monster of no control, is now blaming the Obama Administration for Russia… https://t.co/9HNsbaWwWj
103	Sun Feb 18 12:02:52 +0000 2018	125383	38556	Never gotten over the fact that Obama was able to send $1.7 Billion Dollars in CASH to Iran and nobody in Congress,… https://t.co/5nQ35ANIrg
104	Sun Feb 18 04:22:48 +0000 2018	97482	27352	General McMaster forgot to say that the results of the 2016 election were not impacted or changed by the Russians a… https://t.co/ilaHKwf6Jy
105	Sun Feb 18 04:08:45 +0000 2018	150281	37540	Very sad that the FBI missed all of the many signals sent out by the Florida school shooter. This is not acceptable… https://t.co/yvvTEmad2e
106	Sat Feb 17 23:45:28 +0000 2018	123948	32619	Just like they don’t want to solve the DACA problem, why didn’t the Democrats pass gun control legislation when the… https://t.co/c2gS0ByFUw
107	Sat Feb 17 20:16:39 +0000 2018	58806	17348	“I have seen all of the Russian ads and I can say very definitively that swaying the election was *NOT* the main go… https://t.co/y4PVZ6KZqv
108	Sat Feb 17 20:11:32 +0000 2018	61198	18951	The Fake News Media never fails. Hard to ignore this fact from the Vice President of Facebook Ads, Rob Goldman! https://t.co/XGC7ynZwYJ
109	Sat Feb 17 19:46:48 +0000 2018	106688	25841	Funny how the Fake News Media doesn’t want to say that the Russian group was formed in 2014, long before my run for… https://t.co/9BPo5EB5WN
110	Sat Feb 17 19:36:14 +0000 2018	90938	22103	Deputy A.G. Rod Rosenstein stated at the News Conference: “There is no allegation in the indictment that any Americ… https://t.co/pPhsPl34Ie
111	Sat Feb 17 19:26:13 +0000 2018	71667	19080	“Charges Deal Don A Big Win,” written by Michael Goodwin of the @nypost, succinctly states that “the Russians had n… https://t.co/yoFUA9PolC
112	Sat Feb 17 19:04:43 +0000 2018	97652	14887	Melania and I met such incredible people last night in Broward County, Florida. Will never forget them, or the evening!
113	Sat Feb 17 04:53:13 +0000 2018	118962	24968	Our entire Nation, w/one heavy heart, continues to pray for the victims &amp; their families in Parkland, FL. To teache… https://t.co/jR8THlLD5z
114	Fri Feb 16 20:18:11 +0000 2018	142550	37530	Russia started their anti-US campaign in 2014, long before I announced that I would run for President. The results… https://t.co/B4D7ZcKHPp
115	Fri Feb 16 14:49:54 +0000 2018	97982	22121	Cannot believe how BADLY DACA recipients have been treated by the Democrats...totally abandoned! Republicans are still working hard.
116	Fri Feb 16 14:37:56 +0000 2018	120822	20065	I will be leaving for Florida today to meet with some of the bravest people on earth - but people whose lives have… https://t.co/1APUFLwj1f
117	Thu Feb 15 20:19:11 +0000 2018	62291	13723	Presidential Proclamation Honoring the Victims of the Tragedy in Parkland, Florida: https://t.co/RTQWAKiSnR https://t.co/Nhs32bm5zB
118	Thu Feb 15 19:26:09 +0000 2018	60530	15411	...lottery, continues deadly catch-and-release, and bars enforcement even for FUTURE illegal immigrants. Voting for… https://t.co/ruP4vp9vxa
119	Thu Feb 15 19:25:23 +0000 2018	72807	20220	The Schumer-Rounds-Collins immigration bill would be a total catastrophe. @DHSgov says it would be “the end of immi… https://t.co/FegRjpmNZj
120	Thu Feb 15 19:22:16 +0000 2018	0	8083	RT @SpoxDHS: Schumer-Rounds-Collins destroys the ability of @DHSgov to enforce immigration laws, creating a mass amnesty for over 10 millio…
121	Thu Feb 15 17:33:41 +0000 2018	82961	19802	In times of tragedy, the bonds that sustain us are those of family, faith, community, and country. These bonds are… https://t.co/LraxXxUN3D
122	Thu Feb 15 14:57:21 +0000 2018	101654	20830	While the Republicans and Democrats in Congress are working hard to come up with a solution to DACA, they should be… https://t.co/qti7gQGh0I
123	Thu Feb 15 12:12:41 +0000 2018	89595	21024	So many signs that the Florida shooter was mentally disturbed, even expelled from school for bad and erratic behavi… https://t.co/3mSYrtTng6
124	Wed Feb 14 20:55:01 +0000 2018	111842	19525	Just spoke to Governor Rick Scott. We are working closely with law enforcement on the terrible Florida school shooting.
125	Wed Feb 14 20:50:11 +0000 2018	174181	39599	My prayers and condolences to the families of the victims of the terrible Florida shooting. No child, teacher or an… https://t.co/RFJxgM1jhm
126	Wed Feb 14 19:11:32 +0000 2018	56424	11372	Today, I was honored to be joined by Republicans and Democrats from both the House and Senate, as well as members o… https://t.co/38kUIIV8Cp
127	Wed Feb 14 18:15:12 +0000 2018	65492	15027	As we come together to celebrate the extraordinary contributions of African-Americans to our nation, our thoughts t… https://t.co/SwAJxO88zC
