	Unnamed: 0	date	likes	retweets	text	filtered_text	polarity	subjectivity
421	421	Fri Jan 26 10:11:26 +0000 2018	36548	6513	Will be interviewed on  @SquawkCNBC by @JoeSquawk coming up at 6:00amE from Davos, Switzerland. Enjoy! #WEF18 https://t.co/7egYlxnFBd	Will be interviewed on  SquawkCNBC by JoeSquawk coming up at 600amE from Davos Switzerland Enjoy WEF18 	0.4	0.5
422	422	Thu Jan 25 22:38:21 +0000 2018	83442	17541	Today, Americans everywhere remember the brave men and women of @NASA who lost their lives in our Nation’s eternal… https://t.co/KMP2MhJVLS	Today Americans everywhere remember the brave men and women of NASA who lost their lives in our Nations eternal 	0.8	1.0
423	423	Thu Jan 25 18:03:29 +0000 2018	72495	14969	Very productive bilateral meeting with Prime Minister Benjamin @Netanyahu of Israel - in Davos, Switzerland! #WEF18 https://t.co/2sZM9YI7tJ	Very productive bilateral meeting with Prime Minister Benjamin Netanyahu of Israel  in Davos Switzerland WEF18 	0.2	0.3
424	424	Thu Jan 25 17:25:53 +0000 2018	75858	15820	Great bilateral meeting with Prime Minister Theresa May of the United Kingdom, affirming the special relationship a… https://t.co/6bIzOEo8DK	Great bilateral meeting with Prime Minister Theresa May of the United Kingdom affirming the special relationship a 	0.5785714285714286	0.6607142857142857
425	425	Thu Jan 25 00:27:00 +0000 2018	151613	28000	Will soon be heading to Davos, Switzerland, to tell the world how great America is and is doing. Our economy is now… https://t.co/OwSYSiCiKe	Will soon be heading to Davos Switzerland to tell the world how great America is and is doing Our economy is now 	0.8	0.75
426	426	Wed Jan 24 22:51:20 +0000 2018	78736	16626	It was my great honor to welcome Mayor’s from across America to the WH. My Administration will always support local… https://t.co/N7Z9Dw3uIi	It was my great honor to welcome Mayors from across America to the WH My Administration will always support local 	0.5333333333333333	0.5499999999999999
427	427	Wed Jan 24 20:26:16 +0000 2018	98053	19044	Earlier today, I spoke with @GovMattBevin of Kentucky regarding yesterday’s shooting at Marshall County High School… https://t.co/20Bf0p7oFT	Earlier today I spoke with GovMattBevin of Kentucky regarding yesterdays shooting at Marshall County High School 	0.08	0.52
428	428	Wed Jan 24 11:58:58 +0000 2018	146169	32816	Tremendous investment by companies from all over the world being made in America. There has never been anything lik… https://t.co/sUp4LsbXhz	Tremendous investment by companies from all over the world being made in America There has never been anything lik 	0.3333333333333333	1.0
429	429	Wed Jan 24 04:07:27 +0000 2018	153594	36170	Cryin’ Chuck Schumer fully understands, especially after his humiliating defeat, that if there is no Wall, there is… https://t.co/oaabUSfT9w	Cryin Chuck Schumer fully understands especially after his humiliating defeat that if there is no Wall there is 	0.0	1.0
430	430	Wed Jan 24 03:54:22 +0000 2018	126546	31582	Where are the 50,000 important text messages between FBI lovers Lisa Page and Peter Strzok?  Blaming Samsung!	Where are the 50000 important text messages between FBI lovers Lisa Page and Peter Strzok  Blaming Samsung	0.4	1.0
431	431	Tue Jan 23 14:16:02 +0000 2018	96911	21308	Thank you to General John Kelly, who is doing a fantastic job, and all of the Staff and others in the White House,… https://t.co/q4hhzEEjor	Thank you to General John Kelly who is doing a fantastic job and all of the Staff and others in the White House 	0.15000000000000002	0.4666666666666666
432	432	Tue Jan 23 13:34:37 +0000 2018	111721	23767	Nobody knows for sure that the Republicans &amp; Democrats will be able to reach a deal on DACA by February 8, but ever… https://t.co/2qBHLtCo1u	Nobody knows for sure that the Republicans amp Democrats will be able to reach a deal on DACA by February 8 but ever 	0.5	0.7569444444444444
433	433	Tue Jan 23 11:55:42 +0000 2018	133244	36195	In one of the biggest stories in a long time, the FBI now says it is missing five months worth of lovers Strzok-Pag… https://t.co/Zwg2yDeEwz	In one of the biggest stories in a long time the FBI now says it is missing five months worth of lovers StrzokPag 	0.016666666666666663	0.18333333333333335
434	434	Tue Jan 23 11:31:40 +0000 2018	128126	26898	Even Crazy Jim Acosta of Fake News CNN agrees: “Trump World and WH sources dancing in end zone: Trump wins again...… https://t.co/X4ncbncUqi	Even Crazy Jim Acosta of Fake News CNN agrees Trump World and WH sources dancing in end zone Trump wins again 	-0.26666666666666666	0.7000000000000001
435	435	Tue Jan 23 04:30:33 +0000 2018	132420	27671	Big win for Republicans as Democrats cave on Shutdown. Now I want a big win for everyone, including Republicans, De… https://t.co/jzJKY5vaAz	Big win for Republicans as Democrats cave on Shutdown Now I want a big win for everyone including Republicans De 	0.4	0.25
436	436	Mon Jan 22 15:13:18 +0000 2018	92266	21352	End the Democrats Obstruction! https://t.co/tzBXilvW1b	End the Democrats Obstruction 	0.0	0.0
437	437	Mon Jan 22 13:15:55 +0000 2018	108569	21824	Democrats have shut down our government in the interests of their far left base. They don’t want to do it but are powerless!	Democrats have shut down our government in the interests of their far left base They dont want to do it but are powerless	-0.27111111111111114	0.6377777777777778
438	438	Mon Jan 22 13:07:09 +0000 2018	130926	32841	The Democrats are turning down services and security for citizens in favor of services and security for non-citizens. Not good!	The Democrats are turning down services and security for citizens in favor of services and security for noncitizens Not good	-0.25277777777777777	0.44444444444444453
439	439	Mon Jan 22 01:21:42 +0000 2018	125770	23327	Thank you to Brad Blakeman on @FoxNews for grading year one of my presidency with an “A”-and likewise to Doug Schoe… https://t.co/RnE8Gh9xnh	Thank you to Brad Blakeman on FoxNews for grading year one of my presidency with an Aand likewise to Doug Schoe 	0.0	0.0
440	440	Sun Jan 21 12:35:28 +0000 2018	176715	46837	Great to see how hard Republicans are fighting for our Military and Safety at the Border. The Dems just want illega… https://t.co/px3zwtzYOV	Great to see how hard Republicans are fighting for our Military and Safety at the Border The Dems just want illega 	0.1361111111111111	0.46388888888888885
441	441	Sun Jan 21 12:20:19 +0000 2018	0	43975	RT @realDonaldTrump: Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that hap…	RT realDonaldTrump Democrats are holding our Military hostage over their desire to have unchecked illegal immigration Cant let that hap	-0.3	0.3
442	442	Sun Jan 21 02:34:52 +0000 2018	0	14174	"RT @FoxNews: .@EricTrump: ""My father was elected for one reason, and that's because he actually believes in putting America first, which is…"	RT FoxNews EricTrump My father was elected for one reason and thats because he actually believes in putting America first which is	0.125	0.21666666666666667
443	443	Sun Jan 21 02:33:09 +0000 2018	0	14343	"RT @FoxNews: .@KellyannePolls: ""Since @POTUS took office, 863,000 new jobs were filled by women. Over half a million American women have en…"	RT FoxNews KellyannePolls Since POTUS took office 863000 new jobs were filled by women Over half a million American women have en	0.09242424242424244	0.3803030303030303
444	444	Sun Jan 21 02:31:28 +0000 2018	0	12948	"RT @FoxNews: .@davidwebbshow: ""Let's look at the calendar. It's January 20th. DACA expires on March 5th. That means this was a construct of…"	RT FoxNews davidwebbshow Lets look at the calendar Its January 20th DACA expires on March 5th That means this was a construct of	0.0	0.0
445	445	Sun Jan 21 02:31:07 +0000 2018	0	7305	"RT @FoxNews: .@EricTrump: ""People have seen a year that's incredible, that's been filled with nothing but the best for our country, America…"	RT FoxNews EricTrump People have seen a year thats incredible thats been filled with nothing but the best for our country America	0.7666666666666666	0.7000000000000001
446	446	Sun Jan 21 02:18:51 +0000 2018	46270	6286	Eric Trump on @JudgeJeanine on @FoxNews now!	Eric Trump on JudgeJeanine on FoxNews now	0.0	0.0
