	Unnamed: 0	date	likes	retweets	text	filtered_text
422	422	Thu Dec 28 19:20:47 +0000 2017	75685	26920	I've been saying it for a long, long time. #NoKo https://t.co/LQl7tGhMdO	Ive been saying it for a long long time NoKo 
423	423	Thu Dec 28 16:24:08 +0000 2017	126487	31736	Caught RED HANDED - very disappointed that China is allowing oil to go into North Korea. There will never be a frie… https://t.co/aIa4CFXNoA	Caught RED HANDED  very disappointed that China is allowing oil to go into North Korea There will never be a frie 
424	424	Thu Dec 28 16:18:20 +0000 2017	110006	21446	Retail sales are at record numbers. We’ve got the economy going better than anyone ever dreamt - and you haven’t seen anything yet!	Retail sales are at record numbers Weve got the economy going better than anyone ever dreamt  and you havent seen anything yet
425	425	Thu Dec 28 15:24:53 +0000 2017	66731	14371	Vanity Fair, which looks like it is on its last legs, is bending over backwards in apologizing for the minor hit th… https://t.co/Sx6AmzfKRp	Vanity Fair which looks like it is on its last legs is bending over backwards in apologizing for the minor hit th 
426	426	Thu Dec 28 02:46:30 +0000 2017	86099	21112	"“Arrests of MS-13 Members, Associates Up 83% Under Trump” 
https://t.co/70iPHy2Yqn"	Arrests of MS13 Members Associates Up 83 Under Trump 
427	427	Thu Dec 28 02:09:22 +0000 2017	69656	19681	“On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of ter… https://t.co/xnR1mXhmr3	On 120  the day Trump was inaugurated  an estimated 35000 ISIS fighters held approx 17500 square miles of ter 
428	428	Wed Dec 27 23:11:13 +0000 2017	109317	18303	Just left West Palm Beach Fire &amp; Rescue #2. Met with great men and women as representatives of those who do so much… https://t.co/UK0Q7BUKbj	Just left West Palm Beach Fire amp Rescue 2 Met with great men and women as representatives of those who do so much 
429	429	Tue Dec 26 22:17:14 +0000 2017	131219	25128	All signs are that business is looking really good for next year, only to be helped further by our Tax Cut Bill. Wi… https://t.co/f37VETYLej	All signs are that business is looking really good for next year only to be helped further by our Tax Cut Bill Wi 
430	430	Tue Dec 26 13:24:27 +0000 2017	119219	35057	WOW, @foxandfrlends  “Dossier is bogus. Clinton Campaign, DNC funded Dossier. FBI CANNOT (after all of this time) V… https://t.co/3Lv4EhnuwV	WOW foxandfrlends  Dossier is bogus Clinton Campaign DNC funded Dossier FBI CANNOT after all of this time V 
431	431	Tue Dec 26 11:58:42 +0000 2017	110340	20419	Based on the fact that the very unfair and unpopular Individual Mandate has been terminated as part of our Tax Cut… https://t.co/sZ3YczC3mR	Based on the fact that the very unfair and unpopular Individual Mandate has been terminated as part of our Tax Cut 
432	432	Mon Dec 25 23:33:55 +0000 2017	199026	34176	I hope everyone is having a great Christmas, then tomorrow it’s back to work in order to Make America Great Again (… https://t.co/JJ2tiWwe9V	I hope everyone is having a great Christmas then tomorrow its back to work in order to Make America Great Again  
433	433	Mon Dec 25 23:28:51 +0000 2017	0	23367	RT @EricTrump: We should all take a moment to say a prayer for those who paid the ultimate price  — Their bravery and sacrifice allows us t…	RT EricTrump We should all take a moment to say a prayer for those who paid the ultimate price   Their bravery and sacrifice allows us t
434	434	Mon Dec 25 13:36:51 +0000 2017	206301	49518	MERRY CHRISTMAS!!! https://t.co/mYtV5GNdLl	MERRY CHRISTMAS 
435	435	Mon Dec 25 03:51:52 +0000 2017	150410	33286	MERRY CHRISTMAS!! https://t.co/xa2qxcisVV	MERRY CHRISTMAS 
436	436	Mon Dec 25 02:56:19 +0000 2017	230428	53549	People are proud to be saying Merry Christmas again. I am proud to have led the charge against the assault of our c… https://t.co/TDmO0lcYHA	People are proud to be saying Merry Christmas again I am proud to have led the charge against the assault of our c 
437	437	Sun Dec 24 20:35:26 +0000 2017	111253	22850	The Tax Cut/Reform Bill, including Massive Alaska Drilling and the Repeal of the highly unpopular Individual Mandat… https://t.co/KgKnGzK6md	The Tax CutReform Bill including Massive Alaska Drilling and the Repeal of the highly unpopular Individual Mandat 
438	438	Sun Dec 24 13:48:11 +0000 2017	139591	32732	The Fake News refuses to talk about how Big and how Strong our BASE is. They show Fake Polls just like they report… https://t.co/hNmVwpHtM1	The Fake News refuses to talk about how Big and how Strong our BASE is They show Fake Polls just like they report 
439	439	Sun Dec 24 12:31:48 +0000 2017	0	11693	RT @shawgerald4: @realDonaldTrump Thank you President TRUMP!! https://t.co/LKdkT0FL99	RT shawgerald4 realDonaldTrump Thank you President TRUMP 
440	440	Sun Dec 24 12:25:22 +0000 2017	99768	29759	.@FoxNews-FBI’s Andrew McCabe, “in addition to his wife getting all of this money from M (Clinton Puppet), he was u… https://t.co/fRprD7LwtJ	FoxNewsFBIs Andrew McCabe in addition to his wife getting all of this money from M Clinton Puppet he was u 
441	441	Sat Dec 23 22:57:50 +0000 2017	85214	16596	Remember, the Republicans are 5-0 in Congressional races this year. In Senate, I said Roy M would lose in Alabama a… https://t.co/5IMirkPYFR	Remember the Republicans are 50 in Congressional races this year In Senate I said Roy M would lose in Alabama a 
442	442	Sat Dec 23 22:44:45 +0000 2017	101053	22402	The Stock Market is setting record after record and unemployment is at a 17 year low. So many things accomplished b… https://t.co/bctmAtxwb2	The Stock Market is setting record after record and unemployment is at a 17 year low So many things accomplished b 
443	443	Sat Dec 23 20:32:42 +0000 2017	67170	16660	Wow, “FBI lawyer James Baker reassigned,” according to @FoxNews.	Wow FBI lawyer James Baker reassigned according to FoxNews
444	444	Sat Dec 23 20:30:06 +0000 2017	73714	21399	FBI Deputy Director Andrew McCabe is racing the clock to retire with full benefits. 90 days to go?!!!	FBI Deputy Director Andrew McCabe is racing the clock to retire with full benefits 90 days to go
445	445	Sat Dec 23 20:27:05 +0000 2017	122158	36669	How can FBI Deputy Director Andrew McCabe, the man in charge, along with leakin’ James Comey, of the Phony Hillary… https://t.co/9vYPo8QMbI	How can FBI Deputy Director Andrew McCabe the man in charge along with leakin James Comey of the Phony Hillary 
446	446	Sat Dec 23 20:03:39 +0000 2017	0	20986	RT @EricTrump: #JournalismIsDead  https://t.co/xZaJD5ADb7	RT EricTrump JournalismIsDead  
447	447	Fri Dec 22 22:11:56 +0000 2017	120997	25272	Remember, the most hated part of ObamaCare is the Individual Mandate, which is being terminated under our just signed Tax Cut Bill.	Remember the most hated part of ObamaCare is the Individual Mandate which is being terminated under our just signed Tax Cut Bill
448	448	Fri Dec 22 20:47:43 +0000 2017	68994	15776	Today, it was my great honor to sign the largest TAX CUTS and reform in the history of our country. Full remarks:… https://t.co/1plwmP1SX9	Today it was my great honor to sign the largest TAX CUTS and reform in the history of our country Full remarks 
449	449	Fri Dec 22 20:47:15 +0000 2017	90788	18903	The United Nations Security Council just voted 15-0 in favor of additional Sanctions on North Korea. The World wants Peace, not Death!	The United Nations Security Council just voted 150 in favor of additional Sanctions on North Korea The World wants Peace not Death
450	450	Fri Dec 22 18:40:29 +0000 2017	72997	16264	Congressman Ron DeSantis is a brilliant young leader, Yale and then Harvard Law, who would make a GREAT Governor of… https://t.co/T3T1ayf1Vh	Congressman Ron DeSantis is a brilliant young leader Yale and then Harvard Law who would make a GREAT Governor of 
451	451	Fri Dec 22 16:46:49 +0000 2017	103873	21411	95% of Americans will pay less or, at worst, the same amount of taxes (mostly far less). The Dems only want to raise your taxes!	95 of Americans will pay less or at worst the same amount of taxes mostly far less The Dems only want to raise your taxes
