	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	date	likes	retweets	text	filtered_text	polarity	subjectivity
30	30	30	30	30	30	30	30	30	30	Tue Apr 10 20:02:21 +0000 2018	0	0	"RT @beelman_matt: 🚨CALL TO ACTION-SAVE OUR #2A Rights Under ATTACK!🚨

Support CA AB 2860 - Repeal the Handgun Roster https://t.co/F5qbwSmuZ…"	beelman_matt call to actionsave our 2a rights under attacksupport ca ab 2860 repeal the handgun roster	0.0	0.0
31	31	31	31	31	31	31	31	31	31	Tue Apr 10 20:02:21 +0000 2018	0	0	RT @CharlieDaniels: I think that Jeff Sessions is an honest and honorable man, but as Attorney General he has let the president and the nat…	charliedaniels i think that jeff sessions be an honest and honorable man but as attorney general he have let the president and the nat	0.325	0.7
32	32	32	32	32	32	32	32	32	32	Tue Apr 10 20:02:21 +0000 2018	0	0	RT @SiphamandlaGoge: #ANCKZN Bodyguards allegedly belonging to some mayors and MEC(s) had guns drawn on party members at the ANC Moses Mabh…	siphamandlagoge anckzn bodyguards allegedly belong to some mayors and mecs have gun draw on party members at the anc moses mabh	-0.1	0.1
33	33	33	33	33	33	33	33	33	33	Tue Apr 10 20:02:22 +0000 2018	0	0	@Smartyy_P @JosephDelGrippo @ZackBornstein @robneyer Non citizens have rights. But that's not really the point. It… https://t.co/4Wrm3L7qFL	smartyy_p josephdelgrippo zackbornstein robneyer non citizens have right but thats not really the point it	0.09285714285714285	0.3678571428571429
34	34	34	34	34	34	34	34	34	34	Tue Apr 10 20:02:22 +0000 2018	0	0	"RT @The_UnSilent_: Dear Conservatives

You elected a demagogue, because you’re afraid. Afraid of gay people, afraid of black &amp; brown people…"	the_unsilent_ dear conservativesyou elect a demagogue because youre afraid afraid of gay people afraid of black amp brown people	-0.12499999999999999	0.7694444444444445
35	35	35	35	35	35	35	35	35	35	Tue Apr 10 20:02:22 +0000 2018	0	0	In Tanzania now, children's rights are at stake; all in the name of seeking political power and influence. All righ… https://t.co/v7eb3uferY	in tanzania now childrens right be at stake all in the name of seek political power and influence all righ	0.14285714285714285	0.31785714285714284
36	36	36	36	36	36	36	36	36	36	Tue Apr 10 20:02:22 +0000 2018	0	0	RT @AMERICA_PARTII: (7) IT is happening, the rights are actively being taken, and those weapons are being taken from law-abiding citizens.…	america_partii 7 it be happen the right be actively be take and those weapons be be take from lawabiding citizens	0.07619047619047618	0.5678571428571428
37	37	37	37	37	37	37	37	37	37	Tue Apr 10 20:02:22 +0000 2018	0	0	@FoxNews They talj about @FB like guns...they are a tool and parents are responsible	foxnews they talj about fb like gunsthey be a tool and parent be responsible	0.2	0.55
38	38	38	38	38	38	38	38	38	38	Tue Apr 10 20:02:23 +0000 2018	0	0	@davidhogg111 I met Sam yesterday and gave him a resource for every politician's position on guns and on all issues. Ask him	davidhogg111 i meet sam yesterday and give him a resource for every politicians position on gun and on all issue ask him	0.0	0.0
39	39	39	39	39	39	39	39	39	39	Tue Apr 10 20:02:23 +0000 2018	0	0	"RT @The_UnSilent_: Dear Conservatives

You elected a demagogue, because you’re afraid. Afraid of gay people, afraid of black &amp; brown people…"	the_unsilent_ dear conservativesyou elect a demagogue because youre afraid afraid of gay people afraid of black amp brown people	-0.12499999999999999	0.7694444444444445
40	40	40	40	40	40	40	40	40	40	Tue Apr 10 20:02:24 +0000 2018	0	0	RT @rights_info: We need to protect support frameworks, improve access to care, and enshrine rights at every step #RightsSaveLives https://…	rights_info we need to protect support frameworks improve access to care and enshrine right at every step rightssavelives https	0.2857142857142857	0.5357142857142857
41	41	41	41	41	41	41	41	41	41	Tue Apr 10 20:02:25 +0000 2018	0	0	RT @mskaro_2000: Just the facts. Love this https://t.co/eQ5x9gIamQ	mskaro_2000 just the facts love this	0.5	0.6
42	42	42	42	42	42	42	42	42	42	Tue Apr 10 20:02:25 +0000 2018	0	0	RT @AMERICA_PARTII: THE FORMATION OF A RECOGNIZE #MILITIA  would add a further legal complication to the unconstitutional seizure of weapon…	america_partii the formation of a recognize militia would add a further legal complication to the unconstitutional seizure of weapon	0.1	0.35
43	43	43	43	43	43	43	43	43	43	Tue Apr 10 20:02:25 +0000 2018	0	0	RT @AodhanC: @labour @Together4yes posters focus on crises more due to failed social policies than healthcare need, as determinants for abo…	aodhanc labour together4yes posters focus on crises more due to fail social policies than healthcare need as determinants for abo	-0.02291666666666667	0.3104166666666666
44	44	44	44	44	44	44	44	44	44	Tue Apr 10 20:02:26 +0000 2018	0	0	RT @janaecamri: Police don’t murder black people because they mistake what’s in their hands for a gun. That headline is trash. Police carry…	janaecamri police dont murder black people because they mistake whats in their hand for a gun that headline be trash police carry	-0.16666666666666666	0.43333333333333335
45	45	45	45	45	45	45	45	45	45	Tue Apr 10 20:02:26 +0000 2018	0	0	"RT @SmokesAngel1: When governments try to remove our rights to free speech, guess who exposes their tyranny? @JulianAssange
Now that he is…"	smokesangel1 when governments try to remove our right to free speech guess who expose their tyranny julianassangenow that he be	0.34285714285714286	0.6678571428571429
